Saved Date,Job Url,Job Title,Company Name
"5/29/23, 9:04 PM",http://www.linkedin.com/jobs/view/3575292037,"Architect, Data Science, Field CTO",Snowflake
"5/4/23, 11:17 AM",http://www.linkedin.com/jobs/view/3595781328,"Policy Manager, Trust & Safety",Anthropic
"5/3/23, 8:54 AM",http://www.linkedin.com/jobs/view/3587516286,"Solutions Architect, Digital Health Solutions",Mindray
"4/18/24, 8:17 PM",http://www.linkedin.com/jobs/view/3842989806,"Engineering Manager, LLM Scaling",Anthropic
"3/15/24, 2:51 PM",http://www.linkedin.com/jobs/view/3789704736,Music Therapist PRN,Children's Healthcare of Atlanta
"4/17/24, 8:12 PM",http://www.linkedin.com/jobs/view/3790491753,Senior AI-HPC Cluster Engineer,NVIDIA
"5/27/23, 8:00 PM",http://www.linkedin.com/jobs/view/3612377633,Machine Learning Engineer,Veridas
"6/8/23, 7:02 PM",http://www.linkedin.com/jobs/view/3607482311,Associate Director of Translational Science,Nucleai
"5/19/23, 11:32 AM",http://www.linkedin.com/jobs/view/3547270107,"Sr. Mgr, BioPharma Analytics Lead",Foundation Medicine
"5/3/23, 6:34 PM",http://www.linkedin.com/jobs/view/3553555990,Solutions Architect,Elsevier
"5/19/23, 11:32 AM",http://www.linkedin.com/jobs/view/3592439856,Clinical Data Management Director,Generate:Biomedicines
"5/4/23, 11:18 AM",http://www.linkedin.com/jobs/view/3595778792,"Threat Investigator, Trust & Safety",Anthropic
"4/22/24, 9:09 PM",http://www.linkedin.com/jobs/view/3865631930,Customer Experience - Senior Full-Stack Software Engineer (EMR),GeneDx
"5/29/23, 7:32 PM",http://www.linkedin.com/jobs/view/3610398778,Science and Technology Editor [Part-Time] (Independent Contractor),Wolfram
"5/11/23, 8:55 PM",http://www.linkedin.com/jobs/view/3595579544,Neural Engineer,Northwell Health
"8/6/23, 9:19 AM",http://www.linkedin.com/jobs/view/3673891556,"Principal HPC Architect, Medical Instruments",PacBio
"5/29/23, 9:18 PM",http://www.linkedin.com/jobs/view/3611760929,Senior Product Specialist (Data Governance),Informatica
"5/26/23, 2:40 PM",http://www.linkedin.com/jobs/view/3615705880,Senior Engineer,Compound Labs
"2/15/24, 4:38 PM",http://www.linkedin.com/jobs/view/3776472515,"Field CTO, Applications",Snowflake
"1/24/24, 6:10 PM",http://www.linkedin.com/jobs/view/3559707138,Solutions Service Engineer/Auckland NZ,Elekta
"4/17/24, 8:10 PM",http://www.linkedin.com/jobs/view/3888704112,"Director, Technical Program Management - DGX Cloud and AI Platform Products",NVIDIA
"5/21/23, 6:00 PM",http://www.linkedin.com/jobs/view/3605665884,Founder-In-Residence (Generative AI for Recruiting),AI Fund
"5/19/23, 11:29 AM",http://www.linkedin.com/jobs/view/3601523669,,
"4/22/24, 9:03 PM",http://www.linkedin.com/jobs/view/3840804354,"Senior Data Engineer, Data Platform",Webflow
"5/25/23, 8:23 PM",http://www.linkedin.com/jobs/view/3610641631,"Senior Director of Engineering, Infrastructure & Platform",dbt Labs
"3/13/24, 1:11 AM",http://www.linkedin.com/jobs/view/3807194152,Security Operations Analyst,Northside Hospital
"11/27/23, 12:44 PM",http://www.linkedin.com/jobs/view/3772718265,Senior Project Manager,Blankfactor
"4/22/24, 12:20 PM",http://www.linkedin.com/jobs/view/3883004483,Director Information Systems - Global Patient Safety,Amgen
"6/25/23, 12:25 PM",http://www.linkedin.com/jobs/view/3558528851,Rust Software Engineer,Neon
"1/24/24, 9:48 AM",http://www.linkedin.com/jobs/view/3474316083,AI Solution Architect/ Senior AI Solution Architect (Pre-Sales),C3 AI
"2/21/24, 8:44 PM",http://www.linkedin.com/jobs/view/3818097795,"Sr. IT Director, Market Access and Commercial Operations",Vertex Pharmaceuticals
"4/22/24, 12:39 PM",http://www.linkedin.com/jobs/view/3865381186,"Sr. Director, Real-World Data Science and Analytics Lead (VEO)",Eli Lilly and Company
"5/29/23, 9:22 PM",http://www.linkedin.com/jobs/view/3389744934,Senior Developer Advocate,Great Expectations
"5/11/23, 8:12 AM",http://www.linkedin.com/jobs/view/3564918543,"VP, Solutions Architecture - Americas",Elastic
"5/3/23, 8:51 AM",http://www.linkedin.com/jobs/view/3596034573,AI-ML Engineer,Siemens Healthineers
"5/16/23, 7:33 PM",http://www.linkedin.com/jobs/view/3585537078,,
"7/31/23, 6:09 PM",http://www.linkedin.com/jobs/view/3657421926,Engineering Manager,Together AI
"1/24/24, 4:29 PM",http://www.linkedin.com/jobs/view/3643931510,,
"4/22/24, 2:01 PM",http://www.linkedin.com/jobs/view/3883557331,Enterprise Product Manager,Tecton
"5/3/23, 6:34 PM",http://www.linkedin.com/jobs/view/3564308031,,
"5/29/23, 7:30 PM",http://www.linkedin.com/jobs/view/3619229698,"Sr. Full Stack Engineer, AI",Zapier
"4/17/24, 8:54 PM",http://www.linkedin.com/jobs/view/3883455404,Account Executive,DataRobot
"4/22/24, 1:42 PM",http://www.linkedin.com/jobs/view/3688830193,"ATDC Entrepreneur-In-Residence -Full time/Part time (Open Rank, Hybrid) Continuous Posting",Georgia Institute of Technology
"7/25/23, 11:28 AM",http://www.linkedin.com/jobs/view/3668035068,"Director, Data Protection",Circle
"5/13/23, 6:40 PM",http://www.linkedin.com/jobs/view/3550888923,,
"1/24/24, 11:36 AM",http://www.linkedin.com/jobs/view/3394921768,Principal Data Scientist - QuantumBlack,"QuantumBlack, AI by McKinsey"
"5/11/23, 8:48 PM",http://www.linkedin.com/jobs/view/3598060831,"Vice President, National Accounts & Partnerships (Remote)",Elekta
"5/3/23, 6:35 PM",http://www.linkedin.com/jobs/view/3577594848,,
"5/4/23, 11:27 AM",http://www.linkedin.com/jobs/view/3562143561,,
"5/11/23, 8:38 PM",http://www.linkedin.com/jobs/view/3603112200,Natural language processing (NLP) / Artificial Intelligence (AI) scientist,MindSource
"3/12/24, 7:59 PM",http://www.linkedin.com/jobs/view/3815621812,"Manager, EMR Applications",Piedmont
"8/20/23, 4:05 PM",http://www.linkedin.com/jobs/view/3685997577,,
"5/18/23, 8:41 AM",http://www.linkedin.com/jobs/view/3594463795,Senior Data Scientist - HealthTech,Pearl Health
"5/29/23, 9:04 PM",http://www.linkedin.com/jobs/view/3547510230,"Principal Architect, Data Science, Field CTO Office",Snowflake
"5/29/23, 9:20 PM",http://www.linkedin.com/jobs/view/3607020726,Solution Engineer - Public & Global Health,Esri
"5/29/23, 7:31 PM",http://www.linkedin.com/jobs/view/3560627481,Senior Data Engineer - Data Analytics (Remote eligible),Mathematica
"5/3/23, 8:55 AM",http://www.linkedin.com/jobs/view/3593532759,Intern-Software Engineer (Algorithm team),Dräger
"9/4/23, 8:53 AM",http://www.linkedin.com/jobs/view/3707333661,Senior Cloud Engineer,LEO Pharma
