Title,Description,Url,Started On,Finished On
Neona: A Chatbot for Learning AI,"Neona is a chat bot that helps people understand artificial intelligence. By interacting with her, you can explore concepts from across the field of artificial intelligence. By studying her design and architecture, you can learn how to build conversational agents.",http://www.neona.chat/,Oct 2016,Dec 2020
Azure as a Chatbot Service: From Purpose To Production With A Cloud Bot Architecture,"The tooling for building chatbots has exploded. Putting chatbots into production is now easier than ever. In this presentation, I focus on how you can use Azure Bot Service, Azure Search, and DocumentDB to create a scalable backend for your chatbot. By using a fully managed, serverless architecture with continuous deployment, you can get your chatbot up and running quickly. Check out this deck to learn how to combine cloud computing and artificial intelligence so you can help humans and machines achieve more together.",http://www.slideshare.net/PaulPrae/azure-as-a-chatbot-service-from-purpose-to-production-with-a-cloud-bot-architecture,Jan 2017,Apr 2017
AI Everywhere: How Microsoft is Democratizing AI,"Microsoft has set a goal of democratizing AI, making it accessible and valuable to everyone. They're focused on building an AI stack spanning infrastructure, services, apps and agents. In this presentation, we learn how Microsoft's intelligent cloud solutions can help any organization become more proactive and differentiate themselves from intensifying competition. We will discuss:  + Microsoft's AI Strategy  + Examples of AI in the Enterprise  + The Cortana Intelligence Suite",http://www.slideshare.net/PaulPrae/ai-everywhere-how-microsoft-is-democratizing-ai-lightning-version,Oct 2016,Dec 2016
Predicting the Future with Azure Machine Learning,"In this talk, I focus on supervised learning, a machine learning technique for performing predictive analytics. After introducing some vocabulary, I discuss the relationship between predictive analytics and machine learning. Next, I describe how you could use a classifier, such as a decision tree, to predict which passengers survived the sinking of the Titanic. Once the machine learning process is clear, I then talk about how Azure Machine Learning is an end-to-end data science solution. Finally, I demo an experiment that predicts the outcomes of patients who went through substance abuse treatment.",http://www.slideshare.net/PaulPrae/predicting-the-future-with-azure-machine-learning,Apr 2016,Jun 2016
An Introduction to Azure Machine Learning,"In this talk, we presented an overview of Azure Machine Learning, a fully managed cloud service that enables you to easily build, deploy, and share predictive analytics solutions. We started with the basics of machine learning and ended with a demo that used real world data. ",http://www.slideshare.net/PaulPrae/introduction-to-azure-machine-learning-60479597,Mar 2016,May 2016
Predicting the Features of a Film that Maximize ROI,"For a course titled, ""Big Data Analytics For Competitive Advantage"", we researched trends in the film industry and applied predictive analytics to determine which types of movies would yield the highest return on investment. We performed web mining, data processing, data analysis, and data visualization to make our final prediction. We used technologies like Python, R, Excel, and SAS in our work.  Overall, this course provides an introduction to the use of big data analytics as a strategic resource in creating competitive advantage for businesses. A focus is placed on integrating the knowledge of analytics tools with an understanding of how companies could leverage data analytics to gain strategic advantage. An emphasis is placed on developing the ability to think critically about complex problems/questions in real world data science and business analytics challenges.",https://github.com/praeducer/big-data-analytics-for-competitive-advantage,Jan 2015,May 2015
IBM Watson Hackathon,"We'd like to get out a little more, intellectually speaking. To make that happen, we wanted to show Red Ventures the value of cognitive computing by performing research at IBM's Watson Hackathon (http://www.ibm.com/smarterplanet/us/en/ibmwatson/watson-hackathon.html). We aimed to augment and optimize conversations between customers and sales professionals using natural language processing and the Watson Developer Cloud. More specifically, we set out to explore chat data and dig up insights. Moving forward, we'll turn those insights into tools and recommendations for our sales teams.",https://www.behance.net/gallery/27290319/IBM-Watson-Hackathon,May 2015,May 2015
HACKATHON clt: Team HTCoDelivery,+ First place submission for the Code category for HACKATHON clt (http://www.hackathonclt.org/). + Engineered a Meteor application for a crowdsourced delivery system for Harris Teeter customers. + Provided a data-backed business launch plan by implementing a map-reduce algorithm in combination with a k-means implementation to determine neighborhoods of most active shoppers. + Processed 140+ million rows of purchase data using Apache Spark.,https://github.com/praeducer/htcodelivery,Mar 2015,Mar 2015
Student Studio Online,"+ Architected a JavaScript-centric web application using Node.js, MongoDB, and Angular.js. + Built several iterations of a project-based learning and content management system. Experimented with various distributions of Drupal and Moodle. + Student Studio is building a solution that is out to help urban youth develop literacy, math, and science skills through music production and business development. + We set out to integrate various web applications and native apps into a system capable of providing a social network, course management and consumption, educational gaming, virtual worlds, collaborative project management, digital media production, portfolio management, marketing, and more.‎",http://mystudentstudio.com/,Mar 2013,Aug 2013
eChurchGive Tithing Application,"+ Led team as the project manager, designing and executing on all aspects of the application development life cycle. Collecting constant feedback from stakeholders, we developed daily iterations of an iOS application and a mobile web application. + Built the web application with jQuery, Knockout.js, and FatFractal’s NoServer. Much of the product’s back-end used a set of web and NoSQL cloud database services that were undocumented and in beta (FatFractal.com).  + Contributed code to the native iPhone application.  http://www.echurchgive.com/",https://www.behance.net/gallery/eChurchGive-Mobile-Tithing-App/13677687,May 2012,Jul 2012
